"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"The Transformers: The Movie","1986","1h 24m","7,5","Nelson Shin","Japonia","Animacja","Akcja"
"Krokodyl Dundee II","1988","1h 54m","6,4","John Cornell","Australia","Komedia","Przygodowy"
"Pokémon: Film pierwszy","1998","1h 15m","6,6","Kunihiko Yuyama","Japonia","Fantasy","Przygodowy"
"Super Mario Bros.","1993","1h 44m","5,2","Roland Joffé","USA","Fantasy","Przygodowy"
"Goofy na wakacjach","1995","1h 18m","7,1","Kevin Lima","USA","Animacja","Familijny"
"Inspektor Gadżet","1999","1h 18m","4,7","David Kellogg","USA","Komedia","Przygodowy"
"Magiczny miecz - Legenda Camelotu","1998","1h 26m","7,3","Frederik Du Chau","USA","Animacja","Familijny"
"Władca Pierścieni","1978","2h 12m","6,3","Ralph Bakshi","USA","Animacja","Fantasy"
"Pan Kleks w kosmosie","1988","2h 28m","6,3","Krzysztof Gradowski","Polska","Dla dzieci","Przygodowy"
"Sindbad: Legenda siedmiu mórz","2003","1h 26m","7,3","Tim Johnson","USA","Animacja","Przygodowy"
"Largo Winch","2008","1h 49m","6,4","Jérôme Salle","Francja","Przygodowy","Sensacyjny"
"TRON","1982","1h 36m","7,0","Steven Lisberger","USA","Przygodowy","Sci-Fi"
"Lot Feniksa","2004","1h 53m","6,5","John Moore","USA","Przygodowy",NA
"Wysłannik przyszłości","1997","2h 57m","6,5","Kevin Costner","USA","Dramat","Przygodowy"
"Stuart Malutki 2","2002","1h 18m","5,8","Rob Minkoff","USA","Familijny","Fantasy"
"Conan Niszczyciel","1984","1h 43m","6,4","Richard Fleischer","USA","Fantasy","Przygodowy"
"Dzika rzeka","1994","1h 48m","6,6","Curtis Hanson","USA","Dramat","Przygodowy"
"Zebra z klasą","2005","1h 42m","6,0","Frederik Du Chau","USA","Familijny","Komedia"
"Uwolnić orkę","1993","1h 52m","6,4","Simon Wincer","USA","Familijny","Przygodowy"
"Asterix i Obelix: W służbie Jej Królewskiej Mości","2012","1h 50m","6,2","Laurent Tirard","Francja","Familijny","Komedia"
"Planeta skarbów","2002","1h 35m","7,6","John Musker","USA","Animacja","Familijny"
"Pan Wołodyjowski","1969","2h 28m","7,4","Jerzy Hoffman","Polska","Historyczny","Przygodowy"
"Kowboj z Szanghaju","2000","1h 50m","7,0","Tom Dey","USA","Komedia","Przygodowy"
"Stara baśń. Kiedy słońce było bogiem","2003","1h 47m","5,5","Jerzy Hoffman","Polska","Historyczny","Kostiumowy"
"Klejnot Nilu","1985","1h 46m","6,4","Lewis Teague","USA","Przygodowy","Komedia rom."
"Mali agenci 2: Wyspa marzeń","2002","1h 39m","5,4","Robert Rodriguez","USA","Familijny","Przygodowy"
"Autostopem przez galaktykę","2005","1h 49m","6,7","Garth Jennings","USA","Komedia","Przygodowy"
"Miłość, szmaragd i krokodyl","1984","1h 45m","6,7","Robert Zemeckis","USA","Przygodowy","Komedia rom."
"Dom latających sztyletów","2004","2h 5m","7,3","Yimou Zhang","Chiny","Kostiumowy","Melodramat"
"Statek widmo","2002","1h 31m","6,1","Steve Beck","USA","Horror","Przygodowy"
"Wiedźmin","2001","2h 10m","3,9","Marek Brodzki","Polska","Fantasy","Przygodowy"
"Stuart Malutki","1999","1h 24m","6,1","Rob Minkoff","USA","Familijny","Fantasy"
"Król Skorpion","2002","1h 32m","6,1","Chuck Russell","USA","Fantasy","Przygodowy"
"Legenda Zorro","2005","2h","6,6","Martin Campbell","USA","Przygodowy","Top 2005 roku #87"
"Trzynasty wojownik","1999","1h 42m","7,1","Michael Crichton","USA","Kostiumowy","Przygodowy"
"Kung Fu Panda 2","2011","1h 30m","7,0","Jennifer Yuh Nelson","USA","Animacja","Familijny"
"Kung Fu Panda","2008","1h 32m","7,1","Mark Osborne","USA","Animacja","Familijny"
"Złoty kompas","2007","1h 53m","6,3","Chris Weitz","USA","Fantasy","Przygodowy"
"Hugo i jego wynalazek","2011","2h 7m","7,0","Martin Scorsese","USA","Familijny","Fantasy"
"Gwiezdne wrota","1994","2h 1m","7,2","Roland Emmerich","USA","Przygodowy","Sci-Fi"
"Maska Zorro","1998","2h 16m","6,9","Martin Campbell","USA","Przygodowy","Top 1998 roku #45"
"101 dalmatyńczyków","1996","1h 43m","6,4","Stephen Herek","USA","Familijny","Komedia"
"Król Artur","2004","2h 6m","6,8","Antoine Fuqua","USA","Kostiumowy","Przygodowy"
"Wodny świat","1995","2h 16m","6,8","Kevin Reynolds","USA","Przygodowy","Sci-Fi"
"Indiana Jones i Świątynia Zagłady","1984","1h 58m","7,5","Steven Spielberg","USA","Przygodowy","Najlepsze filmy #424"
"Gwiezdny pył","2007","2h 10m","7,3","Matthew Vaughn","USA","Fantasy","Przygodowy"
"Parnassus","2009","2h 2m","6,6","Terry Gilliam","Kanada","Fantasy","Przygodowy"
"Sherlock Holmes: Gra cieni","2011","2h 9m","7,6","Guy Ritchie","USA","Kryminał","Przygodowy"
"Hobbit: Pustkowie Smauga","2013","2h 41m","7,6","Peter Jackson","USA","Fantasy","Przygodowy"
"Hidalgo - ocean ognia","2004","2h 16m","7,2","Joe Johnston","USA","Przygodowy","Top 2004 roku #55"
"Krótkie spięcie 2","1988","1h 51m","7,1","Kenneth Johnson","USA","Familijny","Komedia"
"Krótkie spięcie","1986","1h 38m","7,1","John Badham","USA","Familijny","Komedia"
"Człowiek rakieta","1991","1h 48m","6,2","Joe Johnston","USA","Familijny","Przygodowy"
"Kto wrobił Królika Rogera","1988","1h 43m","7,1","Robert Zemeckis","USA","Komedia kryminalna","Top 1988 roku #22"
"Rain Man","1988","2h 13m","8,0","Barry Levinson","USA","Dramat","Komedia"
"Apollo 13","1995","2h 20m","7,4","Ron Howard","USA","Dramat","Top 1995 roku #19"
"Plusk","1984","1h 51m","5,7","Ron Howard","USA","Fantasy","Komedia"
"Amerykańska opowieść","1986","1h 20m","7,1","Don Bluth","USA","Animacja","Familijny"
"Joe kontra wulkan","1990","1h 36m","5,7","John Patrick Shanley","USA","Komedia rom.",NA
"Amerykańska opowieść. Feiwel rusza na Zachód","1991","1h 15m","7,1","Simon Wells","USA","Animacja","Familijny"
"Kongo","1995","1h 49m","5,7","Frank Marshall","USA","Przygodowy","Sci-Fi"
"Zatrzymane życie","2013","1h 32m","7,5","Uberto Pasolini","Wielka Brytania","Dramat","Komedia"
"Widzę, widzę","2014","1h 39m","6,2","Severin Fiala","Austria","Horror",NA
"Samba","2014","2h","6,7","Olivier Nakache","Francja","Dramat","Komedia"
"Disco Polo","2015","1h 47m","5,0","Maciej Bochniak","Polska","Komedia","Muzyczny"
"Swobodne opadanie","2014","1h 20m","6,5","György Pálfi","Węgry","Dramat",NA
"Obcy 3","1992","1h 54m","7,2","David Fincher","USA","Horror","Sci-Fi"
"Obcy - decydujące starcie","1986","2h 17m","7,6","James Cameron","USA","Horror","Sci-Fi"
"Obcy: Przebudzenie","1997","1h 49m","7,0","Jean-Pierre Jeunet","USA","Horror","Sci-Fi"
"Wada ukryta","2014","2h 28m","6,6","Paul Thomas Anderson","USA","Kryminał",NA
"Z natury","2014","1h 25m","6,9","Ole Giæver","Norwegia","Dramat","Komedia"
"The Quiet Roar","2014","1h 17m","5,8","Henrik Hellström","Szwecja","Dramat",NA
"Teoria wszystkiego","2014","2h 3m","7,5","James Marsh","Wielka Brytania","Biograficzny","Dramat"
"To my, a to ja","2012","1h 43m","5,4","Michel Gondry","USA","Dramat","Komedia"
"Królestwo zwierząt","2010","1h 52m","6,9","David Michôd","Australia","Dramat","Kryminał"
"Crossbow","2007","14m","6,6","David Michôd","Australia","Dramat","Krótkometrażowy"
"Netherland Dwarf","2008","15m","6,2","David Michôd","Australia","Dramat","Krótkometrażowy"
"Batman DCU: Mroczny rycerz - Powrót, część 1","2012","1h 16m","7,3","Jay Oliva","USA","Animacja","Akcja"
"Batman DCU: Mroczny rycerz - Powrót, część 2","2013","1h 14m","7,5","Jay Oliva","USA","Animacja","Akcja"
"Snajper","2014","2h 14m","7,6","Clint Eastwood","USA","Biograficzny","Dramat"
"Jack Reacher: Jednym strzałem","2012","2h 10m","6,8","Christopher McQuarrie","USA","Kryminał","Akcja"
"Pięćdziesiąt twarzy Greya","2015","2h 4m","4,5","Sam Taylor-Johnson","USA","Melodramat",NA
"Ralph Demolka","2012","1h 48m","7,2","Rich Moore","USA","Animacja","Familijny"
"Kebab i Horoskop","2014","1h 12m","5,4","Grzegorz Jaroszuk","Polska","Dramat","Komedia"
"Krzysztof Kieślowski: I'm So-So...","1995","56m","7,8","Krzysztof Wierzbicki","Dania","Biograficzny","Dokumentalny"
"Polskie gówno","2014","1h 33m","5,1","Grzegorz Jankowski","Polska","Musical","Satyra"
"Rover","2014","1h 42m","6,0","David Michôd","USA","Dramat",NA
"Mistrz","2012","2h 24m","6,6","Paul Thomas Anderson","USA","Dramat",NA
"Nieśmiertelny III: Mag","1994","1h 39m","5,8","Andrew Morahan","Francja","Fantasy","Akcja"
"Nieśmiertelny IV: Ostatnia rozgrywka","2000","1h 41m","5,1","Douglas Aarniokoski","USA","Fantasy","Akcja"
"Nieśmiertelny II: Nowe życie","1991","1h 49m","5,9","Russell Mulcahy","Francja","Fantasy","Akcja"
"Mamma Mia!","2008","1h 50m","6,6","Phyllida Lloyd","USA","Musical","Komedia rom."
"Tenacious D: Kostka Przeznaczenia","2006","1h 33m","7,2","Liam Lynch","USA","Komedia","Musical"
"Niezniszczalny","2000","1h 46m","7,0","M. Night Shyamalan","USA","Thriller","Top 2000 roku #37"
"Droga do El Dorado","2000","1h 30m","7,4","Jeffrey Katzenberg","USA","Animacja","Familijny"
"Uciekinier","1987","1h 41m","6,7","Paul Michael Glaser","USA","Akcja","Sci-Fi"
"Amelia","2001","2h 9m","7,5","Jean-Pierre Jeunet","Francja","Dramat","Komedia rom."
"Reggae na lodzie","1993","1h 38m","6,9","Jon Turteltaub","USA","Familijny","Komedia"
"Atlas chmur","2012","2h 52m","7,1","Tom Tykwer","USA","Dramat","Sci-Fi"
"Piękny umysł","2001","2h 15m","8,3","Ron Howard","USA","Biograficzny","Dramat"
"Zostań, jeśli kochasz","2014","1h 46m","7,1","R.J. Cutler","USA","Melodramat","Top 2014 roku #45"
"eXistenZ","1999","1h 37m","6,8","David Cronenberg","Kanada","Dramat","Sci-Fi"
"Między nami bliźniętami","2014","1h 28m","6,5","Craig Johnson","USA","Dramat","Komedia"
"Złap mnie, jeśli potrafisz","2002","2h 21m","7,9","Steven Spielberg","USA","Komedia kryminalna","Najlepsze filmy #87"
"Mapy gwiazd","2014","1h 51m","6,0","David Cronenberg","Kanada","Dramat",NA
"Jupiter: Intronizacja","2015","2h 5m","5,3","Lilly Wachowski","USA","Akcja","Sci-Fi"
"Nasza klątwa","2013","27m","6,8","Tomasz Śliwiński","","Dokumentalny","Krótkometrażowy"
"Ziarno prawdy","2015","1h 50m","6,9","Borys Lankosz","Polska","Kryminał","Thriller"
"Jak wytresować smoka 2","2014","1h 45m","7,7","Dean DeBlois","USA","Animacja","Familijny"
"Rob Roy","1995","2h 19m","7,3","Michael Caton-Jones","USA","Biograficzny","Romans"
"Mission: Impossible - Ghost Protocol","2011","2h 13m","6,9","Brad Bird","USA","Sensacyjny","Top 2011 roku #57"
"Mission: Impossible","1996","1h 50m","7,1","Brian De Palma","USA","Sensacyjny","Top 1996 roku #13"
"Początek","2014","1h 53m","7,5","Mike Cahill","USA","Dramat","Sci-Fi"
"Klik: I robisz, co chcesz","2006","1h 47m","6,5","Frank Coraci","USA","Fantasy","Komedia"
"Locke","2013","1h 25m","7,0","Steven Knight","USA","Dramat","Thriller"
"Inaczej niż w raju","1984","1h 29m","7,5","Jim Jarmusch","USA","Dramat","Komedia"
"Wkręceni 2","2015","1h 35m","5,6","Piotr Wereśniak","Polska","Komedia",NA
"Nieustające wakacje","1980","1h 15m","6,9","Jim Jarmusch","USA","Dramat obyczajowy",NA
"Gra tajemnic","2014","1h 53m","7,4","Morten Tyldum","USA","Biograficzny","Dramat"
"Brzuszek","2014","1h 10m","5,0","Piotr Matwiejczyk","Polska","Komedia rom.",NA
"Salto","1965","1h 40m","7,8","Tadeusz Konwicki","Polska","Dramat","Psychologiczny"
"Roman Polański: moje życie","2011","1h 30m","7,3","Laurent Bouzereau","","Biograficzny","Dokumentalny"
"Fotograf","2014","1h 47m","6,6","Waldemar Krzystek","Polska","Kryminał",NA
"Niezłomny","2014","2h 17m","7,2","Angelina Jolie","USA","Biograficzny","Dramat"
"Persona","1966","1h 25m","8,1","Ingmar Bergman","Szwecja","Dramat","Psychologiczny"
"12 prac Asteriksa","1976","1h 22m","7,6","Albert Uderzo","Francja","Animacja","Familijny"
"Asterix i Kleopatra","1968","1h 12m","7,4","René Goscinny","Belgia","Animacja","Familijny"
"Exodus: Bogowie i królowie","2014","2h 30m","6,1","Ridley Scott","USA","Dramat","Przygodowy"
"Pani z przedszkola","2014","1h 30m","4,8","Marcin Krzyształowicz","Polska","Dramat","Komedia"
"Wielkie oczy","2014","1h 45m","6,8","Tim Burton","USA","Biograficzny","Dramat"
"Ucieczka z kina ""Wolność""","1990","1h 27m","7,5","Wojciech Marczewski","Polska","Dramat","Psychologiczny"
"Cuda","2014","1h 50m","6,2","Alice Rohrwacher","Włochy","Dramat",NA
"Rushmore","1998","1h 33m","7,3","Wes Anderson","USA","Dramat","Komedia"
"Genialny klan","2001","1h 49m","7,4","Wes Anderson","USA","Dramat","Komedia"
"Wspomnienia z gwiezdnego pyłu","1980","1h 31m","7,1","Woody Allen","USA","Dramat","Komedia"
"Labirynt","2013","2h 33m","7,9","Denis Villeneuve","USA","Thriller","Najlepsze filmy #86"
"Ucieczka gangstera","1972","2h 2m","7,1","Sam Peckinpah","USA","Sensacyjny",NA
"Głupi i głupszy bardziej","2014","1h 50m","5,6","Bobby Farrelly","USA","Komedia",NA
"Książę Persji: Piaski czasu","2010","1h 56m","6,9","Mike Newell","USA","Fantasy","Przygodowy"
"Konwój","1978","1h 50m","7,2","Sam Peckinpah","USA","Sensacyjny","Top 1978 roku #8"
"Człowiek w żelaznej masce","1998","2h 12m","7,0","Randall Wallace","USA","Kostiumowy","Przygodowy"
"Bullet","1996","1h 36m","7,4","Julien Temple","USA","Dramat","Kryminał"
"Jabłka Adama","2005","1h 34m","7,7","Anders Thomas Jensen","Dania","Dramat","Czarna komedia"
"Poradnik pozytywnego myślenia","2012","2h 2m","7,2","David O. Russell","USA","Dramat","Komedia"
"Blue Ruin","2013","1h 32m","6,4","Jeremy Saulnier","USA","Thriller",NA
"Hobbit: Niezwykła podróż","2012","2h 49m","7,6","Peter Jackson","USA","Fantasy","Przygodowy"
"Długi pocałunek na dobranoc","1996","2h","6,9","Renny Harlin","USA","Sensacyjny","Świąteczny"
"Hobbit: Bitwa Pięciu Armii","2014","2h 24m","7,2","Peter Jackson","Nowa Zelandia","Fantasy","Przygodowy"
"Śpiewający detektyw","2003","1h 49m","6,0","Keith Gordon","USA","Musical","Komedia kryminalna"
"Magia w blasku księżyca","2014","1h 37m","6,4","Woody Allen","USA","Komedia",NA
"Życie świadome","2001","1h 39m","7,6","Richard Linklater","USA","Dramat","Surrealistyczny"
"RRRrrrr!!!","2004","1h 34m","6,3","Alain Chabat","Francja","Komedia",NA
"Martwe zło 2","1987","1h 21m","7,2","Sam Raimi","USA","Horror","Komedia"
"Druga strona plakatu","2010","52m","6,6","Marcin Latałło","Polska","Dokumentalny",NA
"Romeo i Julia","1996","2h","6,8","Baz Luhrmann","USA","Melodramat","Akcja"
"Gość","2014","1h 39m","6,3","Adam Wingard","USA","Thriller","Akcja"
"Palo Alto","2013","1h 38m","6,3","Gia Coppola","USA","Dramat",NA
"Obywatel","2014","1h 48m","5,7","Jerzy Stuhr","Polska","Dramat","Komedia"
"Babadook","2014","1h 32m","6,0","Jennifer Kent","Australia","Horror","Filmweb poleca"
"Obce ciało","2014","1h 57m","4,5","Krzysztof Zanussi","Włochy","Dramat",NA
"Mały","2006","1h 38m","6,1","Keenen Ivory Wayans","USA","Komedia",NA
"Tożsamość Bourne'a","2002","1h 59m","7,6","Doug Liman","USA","Sensacyjny","Najlepsze filmy #288"
"Musimy porozmawiać o Kevinie","2011","1h 50m","7,4","Lynne Ramsay","Wielka Brytania","Dramat","Psychologiczny"
"Funny Games","1997","1h 48m","7,3","Michael Haneke","Austria","Dramat","Filmweb poleca"
"Funny Games U.S.","2007","1h 51m","6,7","Michael Haneke","USA","Dramat",NA
"American Hustle","2013","2h 18m","6,8","David O. Russell","USA","Dramat","Kryminał"
"Pianistka","2001","2h 11m","7,3","Michael Haneke","Austria","Dramat","Filmweb poleca"
"Lewiatan","2014","2h 20m","7,4","Andriej Zwiagincew","Rosja","Dramat","Top 2014 roku #40"
"Benny's Video","1992","1h 45m","7,3","Michael Haneke","Austria","Dramat",NA
"Angielski pacjent","1996","2h 40m","7,4","Anthony Minghella","USA","Melodramat","Wojenny"
"Udając gliniarzy","2014","1h 44m","6,6","Luke Greenfield","USA","Komedia","Akcja"
"Godziny","2002","1h 54m","7,3","Stephen Daldry","USA","Dramat","Filmweb poleca"
"Edi","2002","1h 37m","7,3","Piotr Trzaskalski","Polska","Dramat obyczajowy","Filmweb poleca"
"Ulice nędzy","1973","1h 52m","6,8","Martin Scorsese","USA","Dramat","Top 1973 roku #17"
"Kruk","1994","1h 42m","7,3","Alex Proyas","USA","Fantasy","Thriller"
"Miasteczko South Park","1999","1h 21m","7,2","Trey Parker","USA","Animacja","Komedia"
"Lunatycy","2009","29m","6,0","Maciej Sterło-Orlicki","Polska","Krótkometrażowy",NA
"Matka Teresa od kotów","2010","1h 35m","6,6","Paweł Sala","Polska","Dramat",NA
"Lot","2012","2h 18m","7,4","Robert Zemeckis","USA","Dramat","Top 2012 roku #16"
"Komornik","2005","1h 33m","7,3","Feliks Falk","Polska","Dramat","Top 2005 roku #28"
"U Pana Boga w ogródku","2007","1h 55m","6,9","Jacek Bromski","Polska","Komedia kryminalna","Top 2007 roku #84"
"Ogród Luizy","2007","1h 42m","7,4","Maciej Wojtyszko","Polska","Dramat","Romans"
"PitBull","2005","1h 37m","7,2","Patryk Vega","Polska","Dramat","Sensacyjny"
"Furia","2014","2h 14m","7,4","David Ayer","USA","Dramat","Wojenny"
"Grand Budapest Hotel","2014","1h 40m","7,8","Wes Anderson","USA","Dramat","Komedia"
"El Mariachi","1992","1h 21m","6,9","Robert Rodriguez","Meksyk","Gangsterski","Top 1992 roku #39"
"Fargo","1996","1h 38m","7,6","Ethan Coen","USA","Dramat","Thriller"
"Viktoria","2014","2h 35m","6,1","Maya Vitkova","Bułgaria","Dramat",NA
"Śmiertelnie proste","1984","1h 39m","7,1","Ethan Coen","USA","Dramat","Thriller"
"Ostatni sprawiedliwy","1996","1h 41m","7,0","Walter Hill","USA","Gangsterski","Top 1996 roku #30"
"Obietnica","2014","1h 37m","4,4","Anna Kazejak","Polska","Dramat","Dla młodzieży"
"Kot rabina","2011","1h 40m","7,5","Joann Sfar","Francja","Animacja","Przygodowy"
"Paranoid Park","2007","1h 30m","6,4","Gus Van Sant","USA","Dramat",NA
"Powiększenie","1966","1h 51m","7,7","Michelangelo Antonioni","Wielka Brytania","Dramat","Top 1966 roku #3"
"Z odzysku","2005","1h 49m","6,8","Sławomir Fabicki","Polska","Dramat",NA
"Paperman","2012","7m","7,7","John Kahrs","","Animacja","Komedia"
"Parszywa dwunastka","1967","2h 29m","7,6","Robert Aldrich","USA","Akcja","Wojenny"
"Egzorcysta","1973","2h 2m","7,5","William Friedkin","USA","Horror","Najlepsze filmy #456"
"Wierny ogrodnik","2005","2h 9m","7,5","Fernando Meirelles","Wielka Brytania","Melodramat","Thriller"
"Bez wstydu","2012","1h 24m","5,4","Filip Marczewski","Polska","Dramat obyczajowy",NA
"Chrzest","2010","1h 26m","7,0","Marcin Wrona","Polska","Dramat obyczajowy","Top 2010 roku #67"
"Wilq Negocjator","2014","7m","6,8","Leszek Nowicki","Polska","Animacja","Komedia"
"Optimista","2012","44m","7,0","Kryspin Pluta","Polska","Dokumentalny",NA
"Zabicie ciotki","2013","30m","7,0","Mateusz Głowacki","Polska","Dramat","Krótkometrażowy"
"Ruch","2013","16m","4,0","Jarosław Marciniak","Polska","Dokumentalny","Krótkometrażowy"
"Południk Zerowy","2013","32m","5,8","Piotr Rzepka","Polska","Komedia","Krótkometrażowy"
"Hosanna","2013","10m","6,9","Katarzyna Gondek","Polska","Krótkometrażowy",NA
"Ojcze masz","2014","36m","6,6","Kacper Lisowski","Polska","Dramat","Krótkometrażowy"
"Cool","2005","14m","6,0","Piotr Żukowski","","Dokumentalny","Krótkometrażowy"
"Ojciec i syn","2013","54m","7,2","Paweł Łoziński","Polska","Dokumentalny",NA
"Nothing About Chloe","2014","1h 38m","5,2","Dominik Matwiejczyk","Polska","Melodramat",NA
"Dziewczyna z szafy","2012","1h 30m","6,9","Bodo Kox","Polska","Dramat","Komedia"
"Galumphing","2012","41m","6,7","Kamila Józefowicz","Polska","Dokumentalny",NA
"Bogowie","2014","2h 1m","8,0","Łukasz Palkowski","Polska","Biograficzny","Dramat"
"Kochanie, chyba cię zabiłem","2014","1h 25m","5,3","Jakub Nieścierow","Polska","Sensacyjny","Czarna komedia"
"Małe stłuczki","2014","1h 18m","5,6","Aleksandra Gowin","Polska","Obyczajowy",NA
"Miasto 44","2014","2h 10m","6,4","Jan Komasa","Polska","Dramat","Wojenny"
"Opętanie","1981","2h 7m","7,4","Andrzej Żuławski","Francja","Dramat","Horror"
"Witaj w klubie","2013","1h 57m","7,8","Jean-Marc Vallée","USA","Biograficzny","Dramat"
"Szkoła życia","2013","1h 28m","6,3","Jason Bateman","USA","Komedia",NA
"Debiutanci","2010","1h 44m","7,3","Mike Mills","USA","Dramat","Komedia"
"Lewy sercowy","2002","1h 29m","6,4","Paul Thomas Anderson","USA","Dramat","Komedia"
"Red","2010","1h 51m","7,1","Robert Schwentke","USA","Komedia","Akcja"
"Jako w piekle, tak i na Ziemi","2014","1h 33m","6,2","John Erick Dowdle","USA","Horror",NA
"Przed północą","2013","1h 48m","7,0","Richard Linklater","USA","Dramat","Romans"
"Brick Mansions. Najlepszy z najlepszych","2014","1h 30m","5,8","Camille Delamarre","Francja","Dramat","Akcja"
"Wielkie kino","2007","1h 26m","4,7","Jason Friedberg","USA","Komedia","Przygodowy"
